COUNTER|NAME|RATING|ADDRESS|PHONE|BUDGET|CUISINE
11|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
12|Apple Fritter|4.0 star rating|1901 S Norfolk StSan Mateo, CA 94403|(650) 525-9125|$|"Burgers,
                    Breakfast & Brunch,
                    Coffee & Tea"
13|Mancora Cebicheria|4.0 star rating|2191 S El Camino RealSan Mateo, CA 94403|(650) 312-1266|$$|"Peruvian,
                    Seafood"
14|The Pantry|4.0 star rating|1855 S Delaware StSan Mateo, CA 94402|(650) 345-4544|$|"Breakfast & Brunch,
                    Filipino"
15|Sushi Sam’s Edomata|4.0 star rating|218 E 3rd AveSan Mateo, CA 94401|(650) 344-0888|$$|"Sushi Bars,
                    Japanese,
                    Noodles"
16|Peking Alley|4.0 star rating|32 42nd AveSan Mateo, CA 94403|(650) 349-0298|$$|"Chinese,
                    Diners,
                    Seafood"
17|Yakitori Kokko|4.0 star rating|509 2nd AveSan Mateo, CA 94401|(650) 401-7008|$$|Japanese
18|CFood Crush|4.0 star rating|251 South B StSan Mateo, CA 94401|(650) 685-6868|$$|"Cajun/Creole,
                    Seafood,
                    Asian Fusion"
19|Baltica|4.0 star rating|33 W 25th AveSan Mateo, CA 94403|(650) 525-1488|$$|Modern European
20|Ramen Parlor|4.0 star rating|901 S B StSan Mateo, CA 94401|(650) 344-9728|$$|Ramen
21|El Sinaloense|4.0 star rating|1622 Palm AveSan Mateo, CA 94402|(650) 345-1180|$$|"Seafood,
                    Mexican"
21|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
22|El Palenque Taqueria|4.5 star rating|15 N Kingston StSan Mateo, CA 94401|(650) 342-4040|$|Mexican
23|Three Restaurant & Bar|4.0 star rating|50 E 3rd AveSan Mateo, CA 94401|(650) 344-9444|$$|"American (New),
                    Bars,
                    Breakfast & Brunch"
24|Bill’s Hofbrau|4.0 star rating|11 S B StSan Mateo, CA 94401|(650) 579-2950|$$|American (New)
25|hnl|3.5 star rating|106 S B StSan Mateo, CA 94401|(650) 316-8606|$|"Poke,
                    Hawaiian,
                    Acai Bowls"
26|Pop Pot|4.0 star rating|2116 S. El Camino RealSan Mateo, CA 94403|(650) 577-8333|$$|"Szechuan,
                    Seafood"
27|Sushi Yoshizumi|4.5 star rating|325 E 4th AveSan Mateo, CA 94401|(650) 437-2282|$$$$|Sushi Bars
28|El Camaron De Sinaloa|5.0 star rating|751 E Poplar AveSan Mateo, CA 94401|(650) 389-4587|$|"Food Trucks,
                    Seafood,
                    Mexican"
29|31st Union|4.0 star rating|5 S Ellsworth StSan Mateo, CA 94401|(650) 458-0049|$$|"American (New),
                    Wine Bars"
30|Attic|4.0 star rating|234 S B StSan Mateo, CA 94401|(650) 342-4506|$$|"Filipino,
                    Asian Fusion,
                    Cocktail Bars"
31|Kaori Sushi & Sake Bar|4.0 star rating|123 W 25th AveSan Mateo, CA 94403|(650) 212-1828|$$|"Sushi Bars,
                    Japanese,
                    Bars"
31|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
32|Hummus Mediterranean Kitchen|4.0 star rating|150 E 4th AveSan Mateo, CA 94401|(650) 401-6903|$$|"Mediterranean,
                    Turkish,
                    Salad"
33|Rave Burger|4.0 star rating|144 E 3rd AveSan Mateo, CA 94401|(650) 342-6689|$$|"Burgers,
                    American (Traditional)"
34|Sushi Yoshizumi|4.5 star rating|325 E 4th AveSan Mateo, CA 94401|(650) 437-2282|$$$$|Sushi Bars
35|Zen Noodle Bar|4.0 star rating|668 E 3rd AveSan Mateo, CA 94401||$|"Dim Sum,
                    Shanghainese,
                    Noodles"
36|Sole Ristorante Italiano|4.5 star rating|69 W 37th AveSan Mateo, CA 94403|(650) 341-5555|$$|Italian
37|Vault 164|4.0 star rating|164 S B StSan Mateo, CA 94401|(650) 348-8164|$$|American (New)
38|China Bee|4.0 star rating|31 S B StSan Mateo, CA 94401|(650) 348-1889|$|"Chinese,
                    Taiwanese"
39|DASH Japanese Tapas & Sushi|4.0 star rating|220 Main StSan Mateo, CA 94401|(650) 340-1508|$$|"Japanese,
                    Sushi Bars,
                    Tapas Bars"
40|Kaz Teriyaki Grill|4.0 star rating|71 E 4th AveSan Mateo, CA 94401|(650) 347-5777|$|Japanese
41|Golden Gate Tap Room- San Mateo|3.0 star rating|310 Baldwin AveSan Mateo, CA 94401|(650) 342-3100|$$|"Sports Bars,
                    Pubs,
                    American (Traditional)"
41|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Chicken Wings,
                    Fast Food"
42|Himawari|3.5 star rating|202 2nd AveSan Mateo, CA 94401|(650) 375-1005|$$|Ramen
43|Espetus - San Mateo|4.0 star rating|710 S B StSan Mateo, CA 94401|(650) 342-8700|$$$|"Brazilian,
                    Steakhouses"
44|Izakaya Mai|3.5 star rating|212 2nd AveSan Mateo, CA 94401|(650) 347-2511|$$|"Sushi Bars,
                    Japanese,
                    Beer Bar"
45|Curry Up Now|4.0 star rating|129 S B StSan Mateo, CA 94401|(650) 316-8648|$$|"Indian,
                    Vegetarian,
                    Gluten-Free"
46|Sichuan Chong Qing Cuisine|4.0 star rating|211 South San Mateo DrSan Mateo, CA 94401|(650) 343-1144|$$|Szechuan
47|Usagi|3.5 star rating|505 2nd AveSan Mateo, CA 94401|(650) 373-2600|$$|Japanese
48|Kobeya|4.0 star rating|140 W 25th AveSan Mateo, CA 94403|(650) 578-0880|$|Japanese
49|Eden Silk Road Cuisine|3.5 star rating|231 S Ellsworth AveSan Mateo, CA 94538|(658) 581-1787|$$|"Halal,
                    Chinese,
                    Asian Fusion"
50|Best Of Burma|4.0 star rating|146 E 3rd AveSan Mateo, CA 94401|(650) 235-9339|$$|"Burmese,
                    Asian Fusion"
51|Block 34|4.0 star rating|34 E 4th AveSan Mateo, CA 94401|(650) 434-3403|$$|"American (New),
                    Seafood,
                    Gastropubs"
51|Wingstop||1135 Industrial RdSan Carlos, CA 94070|(650) 592-9464|$$|"Fast Food,
                    Chicken Wings"
52|Kobeya|4.0 star rating|140 W 25th AveSan Mateo, CA 94403|(650) 578-0880|$|Japanese
